max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0, 0, 0, 0, 9.53674e-07, 4.65661e-10, 9.53674e-07, 2.23517e-08
0.0170403, 0.000336143, 0.0170436, -0.03545, 0.00853443, -6.44828e-05, 0.00853467, -0.0108509
0.0476465, -0.00548211, 0.0479609, -0.0772731, 0.0039978, 0.000314173, 0.00401013, -0.0188465
0.0632172, -0.0136121, 0.064666, -0.111955, 0.0384436, -0.00769035, 0.0392052, -0.0477415
0.0558367, -0.0164399, 0.0582066, -0.101262, 0.0441275, -0.0114831, 0.0455971, -0.0565106
0.0536032, -0.0211041, 0.057608, -0.0976632, 0.0549984, -0.0211064, 0.0589093, -0.0813108
0.0422783, -0.0147415, 0.0447746, -0.0973382, 0.0372801, -0.0125496, 0.0393357, -0.0835341
0.0477962, -0.0208293, 0.0521377, -0.0928152, 0.0283985, -0.00586232, 0.0289973, -0.0931578
0.0377073, -0.0163384, 0.0410948, -0.0972847, 0.0329218, -0.0189002, 0.0379613, -0.0846239
0.0246592, -0.0164887, 0.029664, -0.0849214, 0.0187025, -0.00468138, 0.0192795, -0.0819342
0.0261326, -0.0266699, 0.0373389, -0.0952787, 0.0219259, -0.0161989, 0.0272608, -0.100007
0.0269556, -0.055782, 0.0619535, -0.0962043, 0.0358906, -0.0610029, 0.0707778, -0.119844
0.0329809, -0.0906796, 0.0964911, -0.121502, 0.0277462, -0.0687327, 0.0741218, -0.0815978
0.00209236, -0.00149736, 0.00257295, -0.0843173, 0.0263748, -0.0764295, 0.0808523, -0.0984646
0.025569, -0.0791882, 0.0832138, -0.112591, 0.027667, -0.0889155, 0.0931205, -0.120698
0.0201988, -0.0920736, 0.0942632, -0.117065, 0.0226164, -0.103964, 0.106395, -0.141491
0.00172424, -0.0727661, 0.0727865, -0.103928, 0.0103035, -0.140423, 0.140801, -0.135288
-0.0122795, -0.125591, 0.12619, -0.138882, -0.00427341, -0.179032, 0.179083, -0.160398
0.00673962, -0.113505, 0.113705, -0.142506, -0.0110636, -0.166669, 0.167036, -0.117964
0.0277834, 0.00484341, 0.0282024, -0.0598109, -0.000338554, -0.128058, 0.128058, -0.136821
0.0227842, 0.00237668, 0.0229079, -0.0417681, -0.0169067, -0.139845, 0.140863, -0.130797
0.0107231, -0.0669668, 0.0678199, -0.113515, -0.0330896, -0.138552, 0.142449, -0.138748
0.00739193, -0.0621067, 0.062545, -0.113284, -0.0288773, -0.125959, 0.129227, -0.147866
0.0427551, -0.0148638, 0.0452651, -0.0770814, -0.0220757, -0.100329, 0.102729, -0.144142
-0.0213175, -0.0752332, 0.078195, -0.111232, -0.0141582, -0.0852794, 0.0864467, -0.133953
-0.011241, -0.0367255, 0.0384073, -0.102767, 0.0116262, -0.0554879, 0.0566929, -0.114832
0.0263577, -0.0109103, 0.0285265, -0.0985894, -0.00879478, -0.0701259, 0.0706752, -0.125698
-0.0160847, -0.0341375, 0.037737, -0.12031, 0.0129251, -0.0486336, 0.0503219, -0.112681
-0.0269518, -0.0207667, 0.0340244, -0.0932178, 0.0272121, -0.0399267, 0.0483181, 0.203192
0.000717163, -0.0264654, 0.0264751, -0.10534, 0.0354052, -0.0293228, 0.0459712, 0.635503
0.0639009, 0.0176429, 0.0662918, -0.095907, 0.0419989, -0.00936669, 0.0430307, -0.238619
0.00788784, -0.00317168, 0.00850162, -0.0991147, 0.0197296, -0.00553405, 0.0204911, -0.120756
0.0908213, -0.000366449, 0.090822, -0.105465, 0.0285511, 0.00151634, 0.0285913, -0.120591
-0.165124, -0.00401121, 0.165173, -0.109232, 0.00870991, 0.0138377, 0.0163507, -0.109218
0.0663848, 0.0140393, 0.0678531, -0.105818, -0.00331163, 0.0148924, 0.0152562, -0.0898604
0.0722604, 0.0172807, 0.0742979, -0.103485, 0.0152173, 0.031233, 0.0347428, -0.098012
0.0724492, 0.0354143, 0.0806415, -0.0932095, 0.0267797, 0.0409641, 0.0489409, -0.110366
0.0550838, 0.0231341, 0.0597445, -0.0983062, 0.065825, 0.0281572, 0.0715944, -0.106111
0.103772, 0.0468797, 0.11387, -0.0981064, 0.0749979, 0.0279551, 0.0800386, -0.110437
-0.102509, 0.0191532, 0.104283, -0.0969865, 0.0241833, 0.0556633, 0.0606896, -0.0867147
-0.113752, 0.0407255, 0.120823, -0.10693, 0.043025, 0.0509575, 0.066692, -0.0707085
0.0532575, 0.0624052, 0.0820412, -0.102056, 0.0501075, 0.0496825, 0.0705628, -0.0546405
0.130534, 0.0295296, 0.133832, -0.105665, 0.0657072, 0.0426739, 0.0783486, -0.0542459
0.0782781, 0.0696677, 0.10479, -0.0865558, 0.0954232, -0.0058077, 0.0955998, -0.0590045
0.0885181, 0.0492225, 0.101283, -0.0891793, 0.104734, -0.0174477, 0.106177, -0.057207
0.0995903, 0.0247729, 0.102625, -0.0995616, 0.0912905, 0.0330774, 0.0970982, -0.091567
0.115765, 0.0373505, 0.121641, -0.107268, 0.0965509, 0.0275925, 0.100416, -0.0854149
0.0584173, 0.068378, 0.089934, -0.0942217, 0.0943875, 0.0122793, 0.0951829, -0.0981777
0.0799146, 0.0336685, 0.0867174, -0.0664403, 0.0978031, 0.0333645, 0.103337, -0.096823
0.0663457, 0.0464289, 0.0809777, -0.112314, 0.0901499, 0.0583155, 0.107367, -0.0878515
0.0730062, 0.0476283, 0.0871685, -0.103122, 0.075551, 0.0307298, 0.0815615, -0.0689713
0.0824642, 0.0420074, 0.0925471, -0.081778, 0.0833497, 0.0440392, 0.0942689, -0.0615122
0.0554109, 0.0140503, 0.0571645, -0.0855081, 0.0802011, 0.0287925, 0.0852128, -0.0536366
0.0651965, 0.0139486, 0.0666719, -0.0878704, 0.0802774, 0.0353963, 0.0877346, -0.084886
0.0877776, 0.0573263, 0.104839, -0.0654126, 0.10238, 0.0516871, 0.114688, -0.0777527
0.056159, 0.0223172, 0.0604309, -0.0933436, 0.0897269, 0.0357474, 0.0965857, -0.090136
0.0285292, -0.00412898, 0.0288264, -0.0832503, 0.0954089, 0.0336594, 0.101172, -0.0693386
0.0472274, -0.00369461, 0.0473717, -0.0912831, 0.0726399, 0.0136432, 0.0739101, -0.0856866
0.0491743, -0.00285248, 0.049257, -0.0849988, 0.0692649, 0.00963638, 0.069932, -0.0798695
0.0387707, 0.0242922, 0.0457523, -0.120795, 0.0540481, 0.00763052, 0.054584, -0.0975396
0.0471754, 0.0196726, 0.0511129, -0.115583, 0.0343919, -0.00407502, 0.0346325, -0.0823405
