max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0, 0, 0, 0, 9.53674e-07, 4.65661e-10, 9.53674e-07, 2.23517e-08
-0.0499163, 0.00249792, 0.0499787, 0.1, -0.0499163, 0.00249792, 0.0499787, 0.1
-0.0465603, 0.00752158, 0.0471639, 0.0925994, -0.0687551, 0.0080577, 0.0692257, 0.122541
0.0666876, 0.00609822, 0.0669658, 0.104547, -0.0720482, 0.0143646, 0.0734662, 0.128442
0.0849104, 0.00846112, 0.0853309, 0.059512, -0.0428295, 0.0171531, 0.0461367, 0.113727
0.0353556, 0.0320923, 0.0477486, 0.0665395, -0.0340481, 0.0223762, 0.0407427, 0.106712
0.0223579, 0.0433262, 0.0487549, 0.0314516, -0.0407114, 0.0405741, 0.0574776, 0.0845315
0.0650558, 0.0348568, 0.0738056, -0.0139663, -0.0426273, 0.0555445, 0.0700163, 0.0596619
0.0474358, 0.0504851, 0.0692741, 0.00161153, -0.0348387, 0.0495752, 0.0605924, 0.0695643
0.0406866, 0.0584719, 0.0712345, -0.00532377, -0.00594711, 0.0677119, 0.0679726, 0.0249459
0.0114021, 0.0994097, 0.100061, -0.059418, 0.0158834, 0.0726519, 0.0743678, -0.0154592
0.0184298, 0.00971285, 0.0208326, -0.0415593, 0.0186977, 0.0515647, 0.05485, -0.0404973
-0.00242901, 0.056463, 0.0565152, -0.0286268, 0.0205641, 0.0408146, 0.0457025, -0.019737
-0.0167294, 0.0991197, 0.100522, -0.0377851, 0.0228062, 0.0297638, 0.0374968, -0.0593436
0.00201893, -0.0203113, 0.0204114, -0.0940684, 0.0122976, 0.0338025, 0.03597, -0.063976
-0.000152588, -0.0743503, 0.0743505, -0.114874, 0.0126467, 0.0177737, 0.0218138, -0.101214
0.0130672, -0.0308528, 0.0335059, -0.0955284, 0.0047121, -0.0708067, 0.0709634, -0.11355
-0.00586796, -0.0946421, 0.0948238, -0.12976, -0.00870037, -0.147114, 0.147371, -0.15648
-0.00661087, -0.0813438, 0.081612, -0.105087, -0.0219297, -0.154268, 0.155819, -0.130453
0.0328999, -0.071999, 0.0791596, -0.124727, -0.0105276, -0.123033, 0.123482, -0.154372
-0.0264425, -0.0404747, 0.0483468, -0.0869243, -0.0297098, -0.133032, 0.136309, -0.165701
-0.0530987, -0.0722368, 0.0896528, -0.126023, -0.0563555, -0.150451, 0.16066, -0.155077
0.0197926, -0.0780249, 0.0804961, -0.121331, -0.0376167, -0.128824, 0.134204, -0.154022
-0.0228739, -0.0482238, 0.0533737, -0.109504, -0.0366335, -0.114949, 0.120645, -0.139121
0.029336, -0.0810251, 0.0861723, -0.112427, -0.027916, -0.105651, 0.109276, -0.145876
0.0252705, -0.0774437, 0.0814624, -0.127487, -0.0227757, -0.0988538, 0.101444, -0.13817
-0.0318518, -0.0313578, 0.0446973, -0.108329, -0.0320406, -0.0873659, 0.0930559, -0.135444
-0.0442314, -0.0241408, 0.0503904, -0.0992815, -0.00153351, -0.0685108, 0.0685279, -0.127364
0.112392, -0.00261629, 0.112423, -0.0876095, 0.0104885, -0.0536626, 0.054678, 0.181541
-0.00386715, -0.00398421, 0.00555237, -0.0983346, 0.0363884, -0.0276601, 0.0457077, 0.818984
0.0674896, 0.0090394, 0.0680923, -0.0977433, 0.0314522, -0.0215217, 0.0381107, -0.117372
0.162694, 0.00659233, 0.162827, -0.0903578, 0.0395775, -0.0107237, 0.0410046, -0.123257
0.143184, -0.00211066, 0.143199, -0.100011, 0.0535507, -0.00757533, 0.0540839, -0.11236
-0.0146823, 0.0150355, 0.0210151, -0.102646, 0.0509496, 0.00170046, 0.0509779, -0.109661
-0.00362015, 0.0080356, 0.00881342, -0.102433, 0.088944, 0.00317711, 0.0890007, -0.0945504
0.0630159, 0.0144323, 0.0646475, -0.101924, 0.0871487, 0.0143636, 0.0883244, -0.0911963
0.170539, 0.00891495, 0.170772, -0.108583, 0.0783377, 0.0241179, 0.0819662, -0.103881
0.111294, 0.0486939, 0.12148, -0.091599, 0.106361, 0.0218529, 0.108583, -0.105758
0.151948, 0.00654227, 0.152089, -0.10753, 0.10741, 0.0216393, 0.109569, -0.119306
0.164436, 0.0268897, 0.16662, -0.105131, 0.135062, 0.0352077, 0.139575, -0.109376
0.173851, 0.0464349, 0.179945, -0.0996976, 0.110061, 0.0571578, 0.124018, -0.0973177
0.00940418, 0.0497848, 0.0506652, -0.106025, 0.0867906, 0.0625414, 0.106977, -0.0873842
0.0239649, 0.0348588, 0.0423019, -0.0960654, 0.0875521, 0.0383413, 0.0955794, -0.08525
0.0241914, 0.0416135, 0.0481342, -0.106696, 0.0721784, 0.0171234, 0.0741817, -0.0930583
0.119594, 0.0468974, 0.12846, -0.0980904, 0.0744686, 0.0229274, 0.0779182, -0.0913204
0.0264034, 0.0701663, 0.0749697, -0.0854385, 0.0630836, 0.065814, 0.0911648, -0.110526
0.148802, 0.0466566, 0.155945, -0.0871605, 0.064322, 0.0722862, 0.0967606, -0.107135
0.0228047, 0.0735208, 0.0769764, -0.0880364, 0.0619712, 0.0591383, 0.0856607, -0.104983
0.0236888, 0.0486092, 0.0540741, -0.119444, 0.0686665, 0.0774148, 0.10348, -0.112915
0.0221038, 0.0499875, 0.0546564, -0.102772, 0.0459733, 0.0621566, 0.077311, -0.0997291
0.0254784, 0.043649, 0.0505409, -0.095215, 0.0373001, 0.0334464, 0.0500995, -0.0910873
