max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
-0.0911031, 0.000194788, 0.0911033, -0.00243235, -0.183996, 0.000576496, 0.183997, -0.000609875
0.00330615, -7.98702e-05, 0.00330712, -0.00108838, -0.0573997, 0.000379562, 0.057401, 0.00292492
-0.13816, 0.000207424, 0.13816, 9.03606e-05, -0.153666, -6.31809e-05, 0.153666, -0.00107938
-0.00880647, -0.00209689, 0.00905267, -0.00165129, -0.217063, -0.000173569, 0.217063, -0.000525236
-0.110561, -0.00284171, 0.110597, 7.43866e-05, -0.171309, -0.000614405, 0.17131, -0.000191927
-0.109198, -0.00506973, 0.109315, -0.00304174, -0.129309, 5.48363e-06, 0.129309, 0.00311637
0.00807595, 0.00739884, 0.0109528, 0.00202918, -0.00130177, 0.00142241, 0.00192817, 0.00455618
-0.119783, -0.00208783, 0.119801, -0.00358421, 0.00384474, 0.00106311, 0.00398901, -0.0035699
-0.0238738, -0.0003829, 0.0238769, -0.000304937, -0.0864406, 0.00133705, 0.0864509, 0.00282741
-0.320441, 0.00598097, 0.320497, 0.00151539, -0.0904667, 0.00155783, 0.0904801, -0.00436664
-0.081478, 0.0120218, 0.0823601, 0.00104713, -0.0480725, 0.00444317, 0.0482774, 0.00486016
-0.0608332, 0.00762701, 0.0613095, -0.000831604, -0.0867743, 4.52995e-05, 0.0867744, 0.00552869
-0.0598943, 0.0048058, 0.0600868, -0.000496626, -0.052821, 0.00143909, 0.0528406, 0.00484306
0.0160213, 0.0041256, 0.0165439, 0.00241214, 0.0321285, 0.000634193, 0.0321347, -0.00139523
-0.0291157, 0.0125473, 0.0317042, 0.0035193, 0.0861338, -0.000197887, 0.0861341, -0.00226814
-0.00731981, 0.00463724, 0.00866508, 0.000907898, 0.0737671, 0.00260949, 0.0738132, 0.00123978
-0.000280619, 0.00373197, 0.0037425, 0.00146389, 0.106794, 0.00302362, 0.106836, -0.00161648
-0.0447266, -0.0167906, 0.0477744, -0.00447494, 0.121809, -0.000167131, 0.121809, -0.00760299
0.0212879, 0.0130546, 0.024972, 0.00330257, 0.127892, 0.00121307, 0.127897, 0.00457668
-0.203837, 0.00634694, 0.203936, 2.45571e-05, -0.00750399, -3.33786e-05, 0.00750406, 0.00314546
0.0393204, 0.00957155, 0.0404686, 0.00405669, 0.133745, -0.00023222, 0.133745, 0.0117788
-0.0148938, 0.00540805, 0.0158452, -0.00177717, 0.15425, -0.00378704, 0.154296, -0.001508
-0.0610706, 0.00746012, 0.0615246, 0.00427675, 0.0832693, -0.000211239, 0.0832696, -0.00145513
-0.139347, -0.013525, 0.140002, -0.00176651, 0.0122543, 0.00143647, 0.0123382, 0.000753164
-0.0206936, -0.0146837, 0.0253739, -0.00732023, -0.0591881, -0.00218344, 0.0592283, 0.00908422
-0.140732, -0.0126712, 0.141301, -0.00914318, -0.0322357, -0.00109482, 0.0322543, 0.00506639
0.0292529, 0.00459433, 0.0296115, 0.00225759, 0.0697897, -0.00386143, 0.0698964, 0.00135756
-0.0375032, -0.0140939, 0.040064, -0.0063076, 0.0910236, 0.00117278, 0.0910311, 0.0110772
0.0345231, 0.0252657, 0.0427808, 0.0149186, 0.027875, -0.00236082, 0.0279748, 0.00622875
0.0474046, 0.0107098, 0.0485994, 0.00135422, 0.103759, -0.00257039, 0.103791, -0.00276119
-0.0410321, 0.00973797, 0.0421718, 0.00255823, 0.0776158, -0.00219822, 0.0776469, 0.00441575
0.0536257, 0.0107894, 0.0547004, 0.00912309, 0.1515, 0.000621557, 0.151501, 0.00976205
-0.0208788, -0.00913882, 0.0227913, -0.0111793, 0.174807, 0.000798464, 0.174809, 0.00304198
-0.031436, -0.00692415, 0.0321896, 0.00141716, 0.114266, -0.00209999, 0.114286, 0.00145054
-0.00699008, -0.00822663, 0.0107953, 0.00781948, 0.148054, -0.000324488, 0.148054, 0.00225043
0.0176987, 0.0133491, 0.0221685, 0.0106996, 0.158111, 0.00175858, 0.158121, 0.00269389
0.000968933, 0.0107508, 0.0107943, -0.00178099, 0.107111, 0.00269341, 0.107145, 0.0031755
0.0501716, 0.00815439, 0.05083, 0.0107482, -0.0241596, 0.00319624, 0.0243701, 0.000986576
-0.00301647, -0.014401, 0.0147135, -0.00166345, 0.0468774, 0.00141978, 0.0468989, -0.000819445
-0.0451168, 0.0068562, 0.0456348, -0.0237064, -0.0335952, 0.0111351, 0.0353925, -0.00647902
-0.0330608, 0.0118542, 0.0351218, 0.0082953, 0.0289268, 0.0113025, 0.0310565, 0.00117373
-0.02299, 0.013844, 0.0268365, -0.0107803, -0.0518295, 0.01087, 0.0529571, -0.00927734
0.0165824, 0.0291095, 0.0335013, 0.00754809, -0.00641966, 0.013289, 0.0147583, 0.000911236
0.0210588, -0.00782394, 0.0224652, -0.00428391, -0.00959468, 0.0149484, 0.0177626, 0.00666029
-0.021427, -0.0108774, 0.0240299, -0.00485355, -0.0237417, 0.00829244, 0.0251482, -0.00983459
-0.0154833, -0.00171852, 0.0155783, -0.00758154, 0.00350165, 0.00488853, 0.00601326, -0.0165485
0.00749266, -0.000935078, 0.00755078, -0.00670559, 0.0300903, 0.00652742, 0.0307902, -0.00665981
0.00253928, 9.29832e-05, 0.00254098, -0.0133393, -0.0252233, 0.0065124, 0.0260504, -0.0124795
-0.0567284, 0.00480056, 0.0569311, -0.0283597, 0.110079, 0.00457358, 0.110174, -0.0176709
0.0229323, 0.0054698, 0.0235756, 0.00960285, 0.0393598, 0.00564766, 0.0397629, -0.00301409
-0.020952, -0.0142884, 0.0253603, -0.00177932, -0.0120285, 0.00327587, 0.0124666, -0.0130256
