max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
-0.0911031, 0.000194788, 0.0911033, -0.00243235, -0.183996, 0.000576496, 0.183997, -0.000609875
0.00330615, -7.98702e-05, 0.00330712, -0.00108838, -0.0573997, 0.000379562, 0.057401, 0.00292492
-0.13816, 0.000207424, 0.13816, 9.03606e-05, -0.153666, -6.31809e-05, 0.153666, -0.00107938
-0.00880647, -0.00209689, 0.00905267, -0.00165129, -0.217929, -0.00019598, 0.217929, -0.00119996
-0.110561, -0.00284171, 0.110597, 7.43866e-05, -0.170518, -0.000406027, 0.170519, 0.00116062
-0.0915101, 0.00280023, 0.0915529, 0.00124836, -0.134567, -0.000318289, 0.134568, 0.00532103
0.00807595, 0.00739884, 0.0109528, 0.00202918, -0.0231357, 0.00069356, 0.0231461, 0.0081656
-0.0529621, -0.00407624, 0.0531187, -0.00458271, -0.0281272, -4.36306e-05, 0.0281272, -0.002096
-0.281163, 0.00510144, 0.28121, -0.00210786, -0.0953205, 0.00117636, 0.0953277, 0.00907642
-0.16842, -0.00370884, 0.168461, -0.00172687, -0.111017, -0.00115895, 0.111023, -0.000416517
-0.067271, 0.00333476, 0.0673536, -6.36578e-05, -0.0383053, -0.00191426, 0.0383531, 0.00498152
-0.164611, -0.00330567, 0.164644, -0.00156624, -0.0994148, -0.00538564, 0.0995606, -0.0016101
0.093835, -0.0125203, 0.0946666, -0.0057373, -0.0861344, -0.00518107, 0.0862901, -0.00408912
0.0717324, 0.0131717, 0.0729317, 0.00659782, -0.0531378, -0.00710177, 0.0536103, -0.00616312
-0.0840002, -0.00420713, 0.0841055, -0.000641346, -0.0340986, -0.00674343, 0.034759, -0.00500089
0.0779723, -0.0116527, 0.0788382, -0.00390649, 0.0185498, -0.00169086, 0.0186267, -0.00854158
-0.0444168, 0.00866771, 0.0452546, 0.00100875, 0.0522163, 0.001158, 0.0522291, -0.00591993
0.143348, -0.00330877, 0.143386, -0.000863075, 0.0610482, 0.000503063, 0.0610502, -0.0183972
-0.162852, -0.00735998, 0.163018, -0.00436813, 0.0299029, 0.00216627, 0.0299813, -0.0135158
0.0182225, -0.000362873, 0.0182261, 0.00270438, -0.112667, 0.00010848, 0.112667, -0.0111449
0.0758383, 0.00263214, 0.075884, -0.00219464, 0.0294553, 0.00459385, 0.0298114, 0.000822067
-0.288439, -0.010576, 0.288633, -0.0120044, 0.0140732, 0.00141716, 0.0141444, -0.00623178
0.117231, -0.0113852, 0.117782, -0.00720627, -0.105347, 4.88758e-05, 0.105347, -0.00386745
0.119595, -0.0114076, 0.120138, -0.000781775, -0.081099, -0.000154972, 0.0810991, 0.00653529
0.0311198, -0.0123401, 0.0334772, -0.00119495, -0.127957, -0.000787497, 0.127959, 0.0138462
-0.268879, -0.0120058, 0.269147, -0.0120824, -0.111515, -0.00197625, 0.111533, 0.00696397
0.100977, -0.000877619, 0.100981, -0.00656509, 0.059798, 0.00109911, 0.0598081, 0.0020473
-0.0494784, -0.00865126, 0.050229, -0.000422478, 0.156511, 0.00858903, 0.156747, 0.0157893
0.149226, 0.00213933, 0.149241, 0.00355083, 0.164683, 0.0047884, 0.164753, 0.0134195
0.0202852, -0.0085206, 0.0220021, -0.0161122, 0.229173, 0.00223279, 0.229184, 0.00238204
0.157812, 0.00974631, 0.158113, 0.00918865, 0.167517, 0.00287843, 0.167542, 0.00401735
-0.0110844, 0.0167811, 0.0201114, 0.00251579, 0.21911, 0.00617814, 0.219197, 0.00683689
0.0218816, 0.0162148, 0.0272346, -0.00408936, 0.26763, 0.00648832, 0.267708, -0.000808954
-0.0466176, -0.00151658, 0.0466423, 0.0223525, 0.168329, 0.00503373, 0.168404, 0.00831199
0.0200118, -0.00214553, 0.0201265, 0.0325311, 0.255256, 0.0050652, 0.255306, 0.0109151
0.0765435, 0.0131137, 0.0776587, 0.0340942, 0.289432, 0.00687051, 0.289513, 0.00818044
0.0339603, 0.0133152, 0.0364773, 0.00813419, 0.264329, 0.00467157, 0.264371, 0.0107239
0.0188186, 0.0127335, 0.0227218, 0.0174564, 0.11717, 0.00279355, 0.117203, 0.0135348
0.0236752, 0.0111489, 0.0261689, 0.0255936, 0.134581, 0.00200772, 0.134596, 0.0108579
0.0587835, 0.0174677, 0.0613239, 0.0123532, 0.0159894, 0.00387979, 0.0164534, 0.0155972
0.0161452, -0.00586987, 0.0171792, 0.00984907, 0.0420429, 0.000485659, 0.0420457, 0.00899267
0.00362086, 0.0205114, 0.0208285, 0.0077405, -0.0193197, 0.00356913, 0.0196466, -0.00229621
0.019402, 0.000782967, 0.0194178, 0.027257, 0.0164496, 0.0041995, 0.0169772, 0.00262213
0.0240747, -0.00235462, 0.0241895, 0.00513965, -0.0192699, -0.00107074, 0.0192997, 0.00647957
0.00910139, -0.0119977, 0.0150592, 0.00214076, 0.00345314, 0.00472021, 0.00584846, -0.0118521
-0.0230378, 0.0175397, 0.0289548, -0.0130561, 0.00684655, 0.0054307, 0.00873886, -0.00541854
-0.0079993, 0.0194509, 0.0210316, 0.0105102, 0.0322156, 0.00604248, 0.0327774, 0.0016849
-0.00844014, -0.0065999, 0.0107142, -0.0046196, -0.00683784, 0.0105426, 0.012566, -0.00920415
-0.00359511, 0.000895739, 0.00370502, 0.0233703, 0.119889, 0.00581384, 0.12003, -0.00773889
0.0218146, -0.00742292, 0.0230429, 0.022599, 0.0620017, 0.0121074, 0.0631728, 0.000531197
-0.00664878, -0.00827217, 0.010613, -0.00901539, 0.0178485, 0.0123186, 0.0216868, 0.00312614
